"","id","fsecurity","fexpend","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability","weight"
"461",20191102380400,NA,NA,1,0,0,0,0,0,0,1,0,0,2275.6032
"462",20191102380700,0,55,2,1,0,2,0,0,1,1,0,0,3851.8692
"463",20191102381000,NA,NA,2,1,0,2,0,0,0,0,2,1,3748.6178
"464",20191102381500,0,40,1,0,0,0,0,0,0,0,0,1,2094.819
"465",20191102382600,0,0,1,1,0,1,0,0,0,0,0,0,1874.3089
"466",20191102384300,0,0,1,1,0,1,0,0,0,0,0,1,1874.3089
"467",20191102385100,0,30,2,1,0,2,0,0,0,0,2,0,3748.6178
"468",20191102386400,0,0,1,1,0,1,0,0,1,0,0,1,1874.3089
"469",20191102386500,0,30,1,1,0,1,0,0,0,0,1,0,1874.3089
"470",20191102387100,NA,NA,1,1,0,0,0,0,1,0,0,0,1928.3774
"471",20191102387300,0,100,1,0,0,1,0,0,0,0,0,0,1814.1087
"472",20191102387600,0,56.6666666666667,3,1,1,0,0,0,2,2,2,0,6046.5318
"473",20191102388100,0,90,1,0,0,0,0,0,1,1,0,0,2141.1303
"474",20191102388400,0,60,1,0,0,0,0,0,0,1,0,0,2747.7234
"475",20191102388800,NA,NA,5,3,3,0,0,0,2,2,2,0,11244.5425
"476",20191102389200,0,50,2,1,0,2,0,0,0,0,2,0,3406.765
"477",20191102389600,5,45,4,3,3,0,0,0,1,1,0,0,8995.634
"478",20191102390800,NA,NA,1,5,0,0,0,0,0,2,0,0,15984.2705
"479",20191102391000,0,76.6666666666667,3,2,1,0,1,0,1,3,2,1,6969.0726
"480",20191102391700,0,85,2,1,0,2,0,0,1,0,2,1,3790.8756
"481",20191102392300,0,90,1,1,0,1,0,0,1,1,0,0,1822.3693
"482",20191102392600,NA,NA,1,0,0,0,0,0,0,1,0,0,2732.7168
"483",20191102396900,NA,NA,3,1,1,0,0,0,1,2,2,0,6655.0419
"484",20191102397400,0,72.5,4,0,2,0,0,0,1,2,0,0,9012.6484
"485",20191102399700,0,130,2,1,0,0,0,0,1,2,2,0,3973.7672
"486",20191102400000,0,140,1,0,0,0,0,1,1,1,0,0,3184.6414
"487",20191102400300,0,100,1,0,0,0,0,0,1,1,0,0,2343.9553
"488",20191102401200,1,46.6666666666667,3,2,0,2,0,0,0,1,0,1,6185.8218
"489",20191102401400,NA,NA,3,3,2,0,0,0,1,1,0,0,6406.2021
"490",20191102401800,0,0,1,0,0,1,0,0,1,0,0,0,2060.4675
"491",20191102402300,NA,NA,2,1,0,0,0,0,0,2,2,0,4065.2202
"492",20191102402400,0,66.6666666666667,3,1,1,0,0,0,0,2,2,0,6406.2021
"493",20191102403600,NA,NA,4,2,2,0,0,0,1,2,0,0,9618.6896
"494",20191102404200,NA,NA,3,2,2,0,0,0,0,1,0,0,8420.7081
"495",20191102405500,0,10,1,1,0,1,0,0,0,0,0,1,2005.2356
"496",20191102405900,0,80,1,1,0,1,0,0,0,1,0,0,2004.1273
"497",20191102406100,0,32.5,4,3,2,1,0,0,1,0,2,0,7764.0776
"498",20191102407300,0,50,1,0,0,1,0,0,0,0,0,0,1853.3752
"499",20191102410600,0,56.6666666666667,3,2,0,0,0,3,2,2,2,0,7419.2628
"500",20191102413300,0,100,2,1,0,0,0,0,1,2,0,0,5465.4336
"501",20191102415500,NA,NA,1,0,0,1,1,0,0,0,0,0,2465.3452
"502",20191102416000,NA,NA,4,3,1,1,0,4,1,2,0,1,8517.5268
"503",20191102416700,0,0,1,1,0,0,0,0,1,0,0,0,1985.7855
"504",20191102416800,NA,NA,3.4,2,0,0,0,0,3,3,2,1,9672.4605
"505",20191102417200,0,35,2,1,0,0,0,0,2,1,2,0,3868.9842
"506",20191102417900,NA,NA,1,0,0,1,0,0,0,1,0,0,1967.6216
